song_id,artist_id,artist_name,duration,explicit,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,analysis_url
78rIJddV4X0HkNAInEcYde,02A3cEvlLLCbIMVDrK2GHV,Starley,222040,FALSE,Call On Me - Ryan Riback Extended Remix,65,0.676,0.843,0,-4.068,1,0.0367,0.0623,0.000752,0.181,0.718,105.003,4,https://api.spotify.com/v1/audio-analysis/78rIJddV4X0HkNAInEcYde
04DwTuZ2VBdJCCC5TROn7L,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,195840,FALSE,In the Name of Love,35,0.49,0.485,4,-6.237,0,0.0406,0.0592,0,0.337,0.196,133.889,4,https://api.spotify.com/v1/audio-analysis/04DwTuZ2VBdJCCC5TROn7L
4Km5HrUvYTaSUfiSGPJeQR,6oMuImdp5ZcFhWP0ESe6mG,Migos,343150,TRUE,Bad and Boujee (feat. Lil Uzi Vert),82,0.927,0.665,11,-5.313,1,0.244,0.061,0,0.123,0.175,127.076,4,https://api.spotify.com/v1/audio-analysis/4Km5HrUvYTaSUfiSGPJeQR
4pLwZjInHj3SimIyN9SnOz,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,226160,TRUE,Side To Side,79,0.648,0.738,6,-5.883,0,0.247,0.0408,0,0.292,0.603,159.145,4,https://api.spotify.com/v1/audio-analysis/4pLwZjInHj3SimIyN9SnOz
3EmmCZoqpWOTY1g2GBwJoR,77AiFEVeAVj2ORpC85QVJs,Steve Aoki,198774,FALSE,Just Hold On,79,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.50E-06,0.0574,0.374,114.991,4,https://api.spotify.com/v1/audio-analysis/3EmmCZoqpWOTY1g2GBwJoR
1qOLh0tI7trd1zdDKxYZTe,5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,181880,TRUE,Starving,9,0.636,0.633,4,-4.23,1,0.126,0.371,0,0.102,0.512,99.721,4,https://api.spotify.com/v1/audio-analysis/1qOLh0tI7trd1zdDKxYZTe
1PSBzsahR2AKwLJgx8ehBj,6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,239293,FALSE,Bad Things (with Camila Cabello),74,0.675,0.69,2,-4.761,1,0.132,0.21,0,0.287,0.272,137.817,4,https://api.spotify.com/v1/audio-analysis/1PSBzsahR2AKwLJgx8ehBj
4TZy1wLyHec06pwgFYDh1a,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,208733,FALSE,Mercy,36,0.469,0.68,11,-4.921,0,0.117,0.137,0,0.11,0.374,147.734,4,https://api.spotify.com/v1/audio-analysis/4TZy1wLyHec06pwgFYDh1a
1vvNmPOiUuyCbgWmtc6yfm,7CajNmpbOovFoOoasH2HaY,Calvin Harris,219159,FALSE,My Way,80,0.819,0.913,4,-3.059,0,0.0427,0.0935,3.72E-05,0.161,0.536,119.989,4,https://api.spotify.com/v1/audio-analysis/1vvNmPOiUuyCbgWmtc6yfm
2rizacJSyD9S1IQUxUxnsK,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,194080,FALSE,All We Know,76,0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90,4,https://api.spotify.com/v1/audio-analysis/2rizacJSyD9S1IQUxUxnsK
0QsvXIfqM0zZoerQfsI9lm,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,208053,FALSE,Don't Let Me Down,39,0.542,0.859,11,-5.651,1,0.197,0.16,0.00466,0.137,0.403,159.797,4,https://api.spotify.com/v1/audio-analysis/0QsvXIfqM0zZoerQfsI9lm
4Hf7WnR761jpxPr5D46Bcd,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,187973,FALSE,Treat You Better,43,0.624,0.803,10,-4.105,0,0.246,0.123,0,0.114,0.821,166.018,4,https://api.spotify.com/v1/audio-analysis/4Hf7WnR761jpxPr5D46Bcd
